address,geometry
"43415 MICHIGAN, CANTON, MI","[-83.4661536, 42.2756219]"
"44134 MICHIGAN AVE., CANTON, MI","[-83.47431569999999, 42.2756358]"
"9317 MAIN STREET, WHITMORE LAKE, MI","[-83.76097419999999, 42.419541]"
"9429 MAIN, WHITMORE LAKE, MI","[-83.76107019999999, 42.42125110000001]"
"9594 MAIN ST., WHITMORE LAKE, MI","[-83.76221869999999, 42.4239696]"
"130 SPRUCE, WYANDOTTE, MI","[-83.15103839999999, 42.2131177]"
"166 OAK ST., WYANDOTTE, MI","[-83.1512478, 42.2045719]"
"12860 SIBLY, RIVERVIEW, MI","[-83.1807108, 42.1711556]"
"13760 EUREKA ROAD, SOUTHGATE, MI","[-83.1917355, 42.1995765]"
"15800 EUREKA ROAD, SOUTHGATE, MI","[-83.21496169999999, 42.19999430000001]"
"15025 DIX TOLEDO RD, SOUTHGATE, MI","[-83.2110912, 42.1985942]"
"23600-23750 EUREKA ROAD, TAYLOR, MI","[-83.2632917, 42.1981471]"
"116 PINE STREET, CARLETON, MI","[-83.3820273, 42.0636087]"
"181 OREGON, YPSILANTI, MI","[-83.5755409, 42.24188119999999]"
"530 FIRST AVE., YPSILANTI, MI","[-83.6259055, 42.2316817]"
"2574 STATE STREET, YPSILANTI, MI","[-83.558605, 42.224312]"
"823 EAST MICHIGAN, YPSILANTI, MI","[-83.5962156, 42.2429995]"
"2215 HARMON AVE, YPSILANTI, MI","[-83.569154, 42.2234263]"
"2933 2ND AVENUE, DETROIT, MI","[-83.0614532, 42.3415032]"
"500 TEMPLE AVE, DETROIT, MI","[-83.05979660000001, 42.3418813]"
"3525 CASS AVENUE, DETROIT, MI","[-83.0611397, 42.3459927]"
"741 SEWARD, DETROIT, MI","[-83.08181189999999, 42.3727931]"
"456 HARPER, DETROIT, MI","[-83.06415, 42.367272]"
"31 WOODLAND ST, DETROIT, MI","[-83.0880024, 42.3931713]"
"6505 WOODWARD, DETROIT, MI","[-83.0728592, 42.369205]"
"78 E EUCLID, DETROIT, MI","[-83.07634019999999, 42.3775693]"
"15000 WARD, DETROIT, MI","[-83.1733371, 42.4001062]"
"1141 E. NEVADA, DETROIT, MI","[-83.0913432, 42.425207]"
"19232 CARDONI, DETROIT, MI","[-83.0913882, 42.4345399]"
"18138 CARDONI ST, DETROIT, MI","[-83.0908023, 42.4269673]"
"1133 E. NEVADA ST, DETROIT, MI","[-83.09146799999999, 42.4251756]"
"20430 EXETER, DETROIT, MI","[-83.104789, 42.444977]"
"266 W. NEVADA, DETROIT, MI","[-83.1071517, 42.4243932]"
"101 MARGARET ST, DETROIT, MI","[-83.103978, 42.425935]"
"20521 FAYETTE, DETROIT, MI","[-83.1107141, 42.4451273]"
"21 E. GRAND, HIGHLAND PARK, MI","[-83.09547859999999, 42.4047488]"
"16508 HAMILTON, HIGHLAND PARK, MI","[-83.1135224, 42.4138559]"
"15550-15630 WOODROW WILSON, HIGHLAND PARK, MI","[-83.115127, 42.407261]"
"139 TENNYSON STREET, HIGHLAND PARK, MI","[-83.0843065, 42.3954906]"
"7401 W GRAND RIVER, DETROIT, MI","[-83.1112109, 42.3573496]"
"1777 W. WARREN, DETROIT, MI","[-83.082333, 42.350552]"
"12074 INDIANA, DETROIT, MI","[-83.156462, 42.3784452]"
"12078 CHERRYLAWN, DETROIT, MI","[-83.1535304, 42.3770458]"
"5409 VAN COUVER, DETROIT, MI","[-83.1279703, 42.35562849999999]"
"15255 MAYFIELD, DETROIT, MI","[-82.9640388, 42.4226429]"
"14444 FLANDERS, DETROIT, MI","[-82.9727486, 42.4192443]"
"14461 ALMA, DETROIT, MI","[-82.9735323, 42.4217102]"
"1442 CALVERT, DETROIT, MI","[-83.0989158, 42.3849946]"
"11805 ROSA PARKS, DETROIT, MI","[-83.107047, 42.38709069999999]"
"1677 MONTEREY, DETROIT, MI","[-83.1069582, 42.3890025]"
"1574 HIGHLAND, DETROIT, MI","[-83.106695, 42.392333]"
"3232 GLYNN COURT, DETROIT, MI","[-83.1185293, 42.3767884]"
"3343-3347 GRATIOT AVENUE, DETROIT, MI","[-83.0276926, 42.3595196]"
"4723 CANTON, DETROIT, MI","[-83.02059109999999, 42.37101]"
"4729 CANTON, DETROIT, MI","[-83.02063299999999, 42.371089]"
"3820 GRAND RIVER, DETROIT, MI","[-83.07631429999999, 42.3436373]"
"3986 HUMBOLDT, DETROIT, MI","[-83.088865, 42.341597]"
"5753 15TH, DETROIT, MI","[-83.0920622, 42.3557923]"
"1610-1612 MCKINSTRY ST, DETROIT, MI","[-83.09612829999999, 42.3187509]"
"8094 HOMER, DETROIT, MI","[-83.1244586, 42.3046365]"
"6642 MICHIGAN AVE, DETROIT, MI","[-83.12548149999999, 42.3313728]"
"3916 CICOTTE, DETROIT, MI","[-83.12218380000002, 42.3293498]"
"8040 SMART, DETROIT, MI","[-83.14742, 42.33887000000001]"
"5929 ST. HEDWIG, DETROIT, MI","[-83.1129041, 42.3264323]"
"4847 SAINT HEDWIG, DETROIT, MI","[-83.1080738, 42.328469]"
"6100 PROCTOR, DETROIT, MI","[-83.14272419999999, 42.3413069]"
"5891 BEGOLE, DETROIT, MI","[-83.1199757, 42.3470514]"
"9208-12 MICHIGAN AVE, DETROIT, MI","[-83.1533106, 42.3288501]"
"6935 EDWARD, DETROIT, MI","[-83.1274753, 42.327031]"
"4908 LIVERNOIS, DETROIT, MI","[-83.1235823, 42.3359703]"
"4912 LIVERNOIS, DETROIT, MI","[-83.12358909999999, 42.336073]"
"4918 LIVERNOIS, DETROIT, MI","[-83.1236206, 42.3361418]"
"9340 MICHIGAN, DETROIT, MI","[-83.1545891, 42.3285732]"
"6350 FARNSWORTH, DETROIT, MI","[-83.027447, 42.372031]"
