id,name,address,city,zip_code,county,full_address
U821910692,COMMERCIAL BUILDING,11805 ROSA PARKS,DETROIT,48206,WAYNE,"11805 ROSA PARKS, DETROIT, MI"
U821608232,RESIDENCE,1677 MONTEREY,DETROIT,48206,WAYNE,"1677 MONTEREY, DETROIT, MI"
U821902095,RESIDENCE,1574 HIGHLAND,DETROIT,48206,WAYNE,"1574 HIGHLAND, DETROIT, MI"
U821602369,VACANT PROPERTY,3232 GLYNN COURT,DETROIT,48206,WAYNE,"3232 GLYNN COURT, DETROIT, MI"
U822105064,KNACK BUILDING,3343-3347 GRATIOT AVENUE,DETROIT,48207,WAYNE,"3343-3347 GRATIOT AVENUE, DETROIT, MI"
U822001112,RESIDENTIAL,4723 CANTON,DETROIT,48207,WAYNE,"4723 CANTON, DETROIT, MI"
U822001113,RESIDENTIAL,4729 CANTON,DETROIT,48207,WAYNE,"4729 CANTON, DETROIT, MI"
U821801623,COMMERICAL BUILDING,3820 GRAND RIVER,DETROIT,48208,WAYNE,"3820 GRAND RIVER, DETROIT, MI"
U821604523,RESIDENCE,3986 HUMBOLDT,DETROIT,48208,WAYNE,"3986 HUMBOLDT, DETROIT, MI"
U821608023,RESIDENCE,5753 15TH,DETROIT,48208,WAYNE,"5753 15TH, DETROIT, MI"
U822001121,VACANT,1610-1612 MCKINSTRY ST,DETROIT,48209,WAYNE,"1610-1612 MCKINSTRY ST, DETROIT, MI"
U821702289,VACANT RESIDENTIAL,8094 HOMER,DETROIT,48209,WAYNE,"8094 HOMER, DETROIT, MI"
U821804323,COMMERCIAL BUILDING,6642 MICHIGAN AVE,DETROIT,48210,WAYNE,"6642 MICHIGAN AVE, DETROIT, MI"
U821604742,RESIDENCE,3916 CICOTTE,DETROIT,48210,WAYNE,"3916 CICOTTE, DETROIT, MI"
U821701241,RESIDENCE,8040 SMART,DETROIT,48210,WAYNE,"8040 SMART, DETROIT, MI"
U821807850,RESIDENCE,5929 ST. HEDWIG,DETROIT,48210,WAYNE,"5929 ST. HEDWIG, DETROIT, MI"
U821809208,RESIDENCE,4847 SAINT HEDWIG,DETROIT,48210,WAYNE,"4847 SAINT HEDWIG, DETROIT, MI"
